100
1	0.00500000d0	0.00125000d0	0.00625000d0
2	0.00500000d0	0.00135000d0	0.00625000d0
3	0.00500000d0	0.00145000d0	0.00625000d0
4	0.00500000d0	0.00155000d0	0.00625000d0
5	0.00500000d0	0.00165000d0	0.00625000d0
6	0.00500000d0	0.00175000d0	0.00625000d0
7	0.00500000d0	0.00185000d0	0.00625000d0
8	0.00500000d0	0.00195000d0	0.00625000d0
9	0.00500000d0	0.00205000d0	0.00625000d0
10	0.00500000d0	0.00215000d0	0.00625000d0
11	0.00500000d0	0.00225000d0	0.00625000d0
12	0.00500000d0	0.00235000d0	0.00625000d0
13	0.00500000d0	0.00245000d0	0.00625000d0
14	0.00500000d0	0.00255000d0	0.00625000d0
15	0.00500000d0	0.00265000d0	0.00625000d0
16	0.00500000d0	0.00275000d0	0.00625000d0
17	0.00500000d0	0.00285000d0	0.00625000d0
18	0.00500000d0	0.00295000d0	0.00625000d0
19	0.00500000d0	0.00305000d0	0.00625000d0
20	0.00500000d0	0.00315000d0	0.00625000d0
21	0.00500000d0	0.00325000d0	0.00625000d0
22	0.00500000d0	0.00335000d0	0.00625000d0
23	0.00500000d0	0.00345000d0	0.00625000d0
24	0.00500000d0	0.00355000d0	0.00625000d0
25	0.00500000d0	0.00365000d0	0.00625000d0
26	0.00500000d0	0.00375000d0	0.00625000d0
27	0.00500000d0	0.00385000d0	0.00625000d0
28	0.00500000d0	0.00395000d0	0.00625000d0
29	0.00500000d0	0.00405000d0	0.00625000d0
30	0.00500000d0	0.00415000d0	0.00625000d0
31	0.00500000d0	0.00425000d0	0.00625000d0
32	0.00500000d0	0.00435000d0	0.00625000d0
33	0.00500000d0	0.00445000d0	0.00625000d0
34	0.00500000d0	0.00455000d0	0.00625000d0
35	0.00500000d0	0.00465000d0	0.00625000d0
36	0.00500000d0	0.00475000d0	0.00625000d0
37	0.00500000d0	0.00485000d0	0.00625000d0
38	0.00500000d0	0.00495000d0	0.00625000d0
39	0.00500000d0	0.00505000d0	0.00625000d0
40	0.00500000d0	0.00515000d0	0.00625000d0
41	0.00500000d0	0.00525000d0	0.00625000d0
42	0.00500000d0	0.00535000d0	0.00625000d0
43	0.00500000d0	0.00545000d0	0.00625000d0
44	0.00500000d0	0.00555000d0	0.00625000d0
45	0.00500000d0	0.00565000d0	0.00625000d0
46	0.00500000d0	0.00575000d0	0.00625000d0
47	0.00500000d0	0.00585000d0	0.00625000d0
48	0.00500000d0	0.00595000d0	0.00625000d0
49	0.00500000d0	0.00605000d0	0.00625000d0
50	0.00500000d0	0.00615000d0	0.00625000d0
51	0.00500000d0	0.00625000d0	0.00625000d0
52	0.00500000d0	0.00635000d0	0.00625000d0
53	0.00500000d0	0.00645000d0	0.00625000d0
54	0.00500000d0	0.00655000d0	0.00625000d0
55	0.00500000d0	0.00665000d0	0.00625000d0
56	0.00500000d0	0.00675000d0	0.00625000d0
57	0.00500000d0	0.00685000d0	0.00625000d0
58	0.00500000d0	0.00695000d0	0.00625000d0
59	0.00500000d0	0.00705000d0	0.00625000d0
60	0.00500000d0	0.00715000d0	0.00625000d0
61	0.00500000d0	0.00725000d0	0.00625000d0
62	0.00500000d0	0.00735000d0	0.00625000d0
63	0.00500000d0	0.00745000d0	0.00625000d0
64	0.00500000d0	0.00755000d0	0.00625000d0
65	0.00500000d0	0.00765000d0	0.00625000d0
66	0.00500000d0	0.00775000d0	0.00625000d0
67	0.00500000d0	0.00785000d0	0.00625000d0
68	0.00500000d0	0.00795000d0	0.00625000d0
69	0.00500000d0	0.00805000d0	0.00625000d0
70	0.00500000d0	0.00815000d0	0.00625000d0
71	0.00500000d0	0.00825000d0	0.00625000d0
72	0.00500000d0	0.00835000d0	0.00625000d0
73	0.00500000d0	0.00845000d0	0.00625000d0
74	0.00500000d0	0.00855000d0	0.00625000d0
75	0.00500000d0	0.00865000d0	0.00625000d0
76	0.00500000d0	0.00875000d0	0.00625000d0
77	0.00500000d0	0.00885000d0	0.00625000d0
78	0.00500000d0	0.00895000d0	0.00625000d0
79	0.00500000d0	0.00905000d0	0.00625000d0
80	0.00500000d0	0.00915000d0	0.00625000d0
81	0.00500000d0	0.00925000d0	0.00625000d0
82	0.00500000d0	0.00935000d0	0.00625000d0
83	0.00500000d0	0.00945000d0	0.00625000d0
84	0.00500000d0	0.00955000d0	0.00625000d0
85	0.00500000d0	0.00965000d0	0.00625000d0
86	0.00500000d0	0.00975000d0	0.00625000d0
87	0.00500000d0	0.00985000d0	0.00625000d0
88	0.00500000d0	0.00995000d0	0.00625000d0
89	0.00500000d0	0.01005000d0	0.00625000d0
90	0.00500000d0	0.01015000d0	0.00625000d0
91	0.00500000d0	0.01025000d0	0.00625000d0
92	0.00500000d0	0.01035000d0	0.00625000d0
93	0.00500000d0	0.01045000d0	0.00625000d0
94	0.00500000d0	0.01055000d0	0.00625000d0
95	0.00500000d0	0.01065000d0	0.00625000d0
96	0.00500000d0	0.01075000d0	0.00625000d0
97	0.00500000d0	0.01085000d0	0.00625000d0
98	0.00500000d0	0.01095000d0	0.00625000d0
99	0.00500000d0	0.01105000d0	0.00625000d0
100	0.00500000d0	0.01115000d0	0.00625000d0
